ID,MinReqsText,RecReqsText
10,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
20,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
30,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
40,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
50,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
60,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
70,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
80,,
130,Minimum: Linux Ubuntu 12.04 Dual-core from Intel or AMD at 2.8 GHz 1GB Memory nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 4GB Hard Drive Space OpenAL Compatible Sound Card,
220,,
240,Minimum: 1.7 GHz Processor 512MB RAM Mouse Keyboard Internet Connection,
280,Minimum: OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 4 GB RAM Graphics: nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1 Network: Broadband Internet connection Hard Drive: 8 GB available space Sound Card: OpenAL Compatible Sound Card,
300,,
320,,
340,,
360,Minimum:OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 2 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeaon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1Network: Broadband Internet connectionStorage: 4 GB available spaceSound Card: OpenAL Compatible Sound Card,
380,,
400,,
420,,
440,Minimum:OS: Ubuntu 12.04Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 1 GB RAMGraphics: nVidia GeForce 8600/9600GT ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310 AMD 12.11) OpenGL 2.1Network: Broadband Internet connectionStorage: 15 GB available spaceSound Card: OpenAL Compatible Sound CardAdditional Notes: Mouse Keyboard,
