ID,MinReqsText,RecReqsText
10,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
20,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
30,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
40,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
50,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
60,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
70,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
80,,
130,Minimum: OS X  Snow Leopard 10.6.3 1GB RAM 4GB Hard Drive SpaceNVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
220,,
240,Minimum: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 1GB RAM NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
280,Minimum: OS:OS X version Leopard 10.5.8 Snow Leopard 10.6.3Memory: 1GB RAMGraphics: NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Network: Internet ConnectionOther: Mouse Keyboard,
300,Minimum: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 1GB RAM NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
320,Minimum: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 1GB RAM NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
340,,
360,Minimum:OS: OS X 10.5.8Processor: Dual core from IntelMemory: 2 GB RAMGraphics: nVidia 320M or higher or Radeon 7000 or higher or Intel HD 3000 or higherNetwork: Broadband Internet connectionStorage: 4 GB available space,
380,Minimum: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 1GB RAM NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
400,Minimum: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 1GB RAM NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
420,Minimum: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 1GB RAM NVIDIA GeForce 8 or higher ATI X1600 or higher or Intel HD 3000 or higher Mouse Keyboard Internet Connection,
440,Minimum:OS: OS X version Leopard 10.5.8 and aboveProcessor: 1.7 GHz Processor or betterMemory: 1 GB RAMGraphics: NVIDIA GeForce 8 or higher ATI X1600 or higher Intel HD 3000 or higherNetwork: Broadband Internet connectionStorage: 15 GB available spaceAdditional Notes: Mouse Keyboard,
500,OS: MacOS X 10.6.4 or higher (Snow Leopard Graphics Update required)Processor: Dual core Intel processor 2GHz or betterVideo Card: ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000Not supported: OS X 10.5.x ATI X1600 or X1900 graphics NVIDIA GeForce 7 graphics or Intel graphics less than Intel HD 3000.,
550,Minimum:OS: MacOS 10.7Processor: Dual core Intel processor 2GHz or betterMemory: 2 GB RAMGraphics: ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000Storage: 13 GB available spaceAdditional Notes: Not supported: OS X 10.5.x ATI X1600 or X1900 graphics NVIDIA GeForce 7 graphics or Intel graphics less than Intel HD 3000.,
570,Minimum:OS: OS X Mavericks 10.9Processor: Dual core from IntelMemory: 4 GB RAMGraphics: nVidia 320M or higher or Radeon HD 2400 or higher or Intel HD 3000 or higherNetwork: Broadband Internet connectionStorage: 15 GB available space,
620,Minimum:OS: MAC OS X 10.6.7 or higherProcessor: Intel Core Duo Processor (2GHz or better)Memory: 2 GB RAMGraphics: ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000Storage: 8 GB available space,
730,Minimum:OS: MacOS X 10.6.6 or higherProcessor: Intel Core Duo Processor (2GHz or better)Memory: 2 GB RAMGraphics: ATI Radeon HD 2400 or better / NVidia 8600M or betterStorage: 8 GB available space,
1200,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later.Processor: Intel MacMemory: 512 MB RAMGraphics: Nvidia or ATI GPU (Intel GPUs unsupported)Hard Drive:  2 GB free hard drive space,
1250,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later. Processor: Intel Mac Graphics: Nvidia or ATI GPU (Intel GPUs unsupported),
1500,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later.Processor: Intel Core Duo 1.66GHz+Memory: 1GB of RAMGraphics: 64MB of video memoryHard Drive:,
1510,,
1520,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later.Processor: Intel Core Duo 1.66GHz+Memory: 1GB of RAMGraphics: 64MB of video memoryHard Drive:,
1530,OS: OS X version Leopard 10.5.8 Snow Leopard 10.6.3 or later.Processor: Intel Core Duo 1.66GHz+Memory: 1GB of RAMGraphics: 64MB of video memoryHard Drive: 64 MB,
1900,,
1930,Minimum:OS: OS X El CapitanProcessor: Intel Mac Core Core CPUMemory: 1 GB Graphics: GeForce FX 6 7 and 8 series AMD/ATI Radeon X-series with Shader 2.0b supportHard Drive: 6 GB Free SpaceSound: SoundcardMisc: Keyboard Mouse Broadband Internet Connection,Recommended:OS: OS X El CapitanProcessor: Intel Mac Quad Core CPUMemory: 2 GBGraphics: with Per-Pixel-Shader 3.0 supportHard Drive: 7 GB Free SpaceSound: 5.1Misc: Keyboard Mouse Broadband Internet Connection
2500,OS: Mac OS X 10.6.5 or newer - Unfortunately OS X 10.9 or newer NOT supportedProcessor: Intel MacMemory: 1 GB RAMHard Disk Space: 1GBVideo Card: : OpenGL 2.0 compatible video card with 256 MB shared or dedicated RAM (ATI or NVIDIA)*DirectX(r): 9.0Additional: Keyboard+mouse or Keyboard+trackpad*Please be advised that the game does not run on Intel graphics solutions (such as Macbooks from 2006-2008 and the new MacBook Pro 13 models from 2011). The game does run on most Macs from 2009 onwards that have a distinct graphics chip (such as those with NVIDIA GeForce 9400M but graphics details need to be turned down for smooth gameplay).,
2630,Minimum: Supported OS: 10.7.5 (Lion) 10.8.5 (Mountain Lion) 10.9.5 (Mavericks) 10.10 (Yosemite)CPU Processor: Intel Core 2 Duo (Dual-Core)CPU Speed: 1.8 GHzMemory: 512 MB RAMHard Disk Space: 4 GBGraphics: NVIDIA Geforce 7300 or better or ATI Radeon X1600Video Memory: 128 MB VRamNote: Intel Integrated GMA 950 and Intel Integrated X3100 are unsupported video chipsets,
2700,OS: 10.8.5 (Mountain Lion) 10.9.5 (Mavericks) 10.10.5 (Yosemite) 10.11.1 (El Capitan)Processor: Intel Core 2 Duo (Dual-Core)  2.2 GHzMemory: 2 GB RAMGraphics: 256 MB ATI Radeon HD2600 Nvidia Geforce 8600 Intel HD 3000Hard Drive: 2 GBPeripherals: Macintosh mouse and keyboard         NOTICE: The following video chipsets are unsupported for RollerCoaster              Tycoon(r) 3: Platinum!ATI Radeon X1000 series HD 2400NVIDIA GeForce 7000 seriesIntel GMA 950/X3100        NOTICE: MAC version available in English French and German ONLY!NOTICE: This game is not supported on volumes formatted as Mac OS Extended (Case Sensitive).,
2810,Minimum:OS: 10.7 (Lion)Processor: Pentium(r) IV or AMD(r) equivalent at 2.0 GHzMemory: 1 GB RAMGraphics: 256MB OpenGL 2.0+ discrete NVIDIA/AMD card or Intel Core i7-2620MHard Drive: 5 GB of free space,Recommended:OS: 10.8 (Mountain Lion)Processor: Intel(r) Core(tm) 2 Duo or AMD(r) equivalent at 2.0 GHzMemory: 2 GB RAMGraphics: 512MB OpenGL 3.0+ discrete NVIDIA/AMD cardHard Drive: 5 GB of free space
